key,latitude,longitude,
Jeor_Mormont-1,76.17449795,-99.53613281,
Jeor_Mormont-1,74.36667479,-96.87011719,
Jeor_Mormont-1,74.62510096,-125.0830078,
Jeor_Mormont-1,76.36226182,-117.6855469,
Jeor_Mormont-1,76.59854507,-112.3828125,
Robert_Baratheon-1,74.36667479,-96.87011719,
Robert_Baratheon-1,74.62510096,-125.0830078,
Robert_Baratheon-1,74.05579888,-140.2880859,
Robert_Baratheon-1,71.20191973,-153.8232422,
Robert_Baratheon-1,64.86760782,-151.7138672,
Robert_Baratheon-1,65.92855384,-158.1298828,
Robert_Baratheon-1,59.73425345,-162.3486328,
Robert_Baratheon-1,53.8784404,-153.4716797,
Robert_Baratheon-1,46.34692761,-161.0302734,
Robert_Baratheon-1,43.61221677,-158.1298828,
Robert_Baratheon-1,45.61403741,-144.5947266,
Robert_Baratheon-1,40.68063803,-136.3330078,
Robert_Baratheon-1,43.73935208,-119.8974609,
Robert_Baratheon-1,53.8784404,-113.3056641,
Robert_Baratheon-1,50.81981826,-111.1962891,
Robert_Baratheon-1,52.24125615,-100.1220703,
Robert_Baratheon-1,58.28639548,-96.60644531,
Robert_Baratheon-1,57.35023748,-84.47753906,
Robert_Baratheon-1,59.62332522,-90.234375,
Robert_Baratheon-1,65.71255746,-93.88183594,
Robert_Baratheon-1,67.50856836,-82.98339844,
Robert_Baratheon-1,71.34301347,-80.30273438,
Robert_Baratheon-1,72.90672343,-82.58789063,
Robert_Baratheon-1,76.47577254,-78.046875,
Robert_Baratheon-1,77.76758238,-80.94726563,
Robert_Baratheon-1,78.59529919,-88.06640625,
Robert_Baratheon-1,77.7861905,-91.66992188,
Robert_Baratheon-1,75.58493741,-90.43945313,
Robert_Baratheon-1,74.18805166,-87.01171875,
Robert_Baratheon-1,73.35305494,-95.94726563
